apply	for	
0.0009989738 	0.0009989738 
0 	0.0009970665 
0 	0 
0 	0 
0.001000881 	0 
0 	0.0009980202 
0.0009992123 	0.0009689331 
0.002989054 	0.001997948 
0.06881595 	0.004986048 
0.2493348 	0.007977962 
1.047201 	0.02094316 
6.912486 	0.06582499 
0 	0 
0 	0.001030922 
0 	0 
0.0009958744 	0 
0 	0 
0.0009970665 	0.0009698868 
0.0009942055 	0.0009992123 
0.002990961 	0.001968861 
0.008975983 	0.003989935 
0.03391004 	0.008975983 
2.38662 	0.0219419 
8.795485 	0.06083703 
0 	0.0009970665 
0 	0 
0 	0 
0 	0 
0 	0.0009708405 
0.0009989738 	0.0009980202 
0.0009980202 	0 
0.002991915 	0.0009691715 
0.01097107 	0.005984068 
0.03791618 	0.007978201 
0.137001 	0.02312899 
4.393213 	0.06288695 
0 	0 
0 	0 
0 	0 
0 	0 
0.0009970665 	0 
0 	0 
0.0009980202 	0 
0.002992868 	0.001968145 
0.009974003 	0.003988981 
0.03393698 	0.01096988 
0.1306491 	0.02194214 
10.31868 	0.06623316 
0 	0 
0 	0 
0 	0 
0 	0 
0.0009970665 	0.0009980202 
0.0009970665 	0 
0.0009698868 	0.0009980202 
0.003988028 	0.001996994 
0.008978844 	0.003960848 
0.03503108 	0.008944035 
2.540369 	0.02094102 
6.511587 	0.06083488 
0 	0 
0 	0.0009989738 
0 	0 
0.0009980202 	0 
0.0009980202 	0 
0.001029968 	0.0009949207 
0.0009970665 	0.0009980202 
0.002991915 	0.00199604 
0.009973049 	0.003989935 
0.03797007 	0.01202202 
0.1296899 	0.02193594 
3.043157 	0.06380296 
0 	0 
0 	0.001042128 
0 	0 
0 	0.0009868145 
0 	0.0009708405 
0 	0 
0.0009970665 	0 
0.002992153 	0.001993895 
0.009974003 	0.003989935 
0.0349071 	0.009974957 
4.459412 	0.02194118 
9.333398 	0.0637989 
0 	0 
0 	0 
0 	0 
0 	0 
0.0009698868 	0.0009970665 
0 	0 
0.0009980202 	0.001966953 
0.003989935 	0.001995087 
0.00997591 	0.003988028 
0.03393912 	0.007982016 
3.602005 	0.0219121 
0.508548 	0.06388688 
0 	0 
0.0009968281 	0 
0 	0 
0 	0 
0 	0 
0.0009980202 	0.0009970665 
0.001995087 	0.0009970665 
0.002991915 	0.0009980202 
0.00988698 	0.003988981 
0.03490686 	0.007977009 
0.125663 	0.02493191 
12.38492 	0.061836 
0.0009980202 	0 
0 	0.001009941 
0 	0 
0 	0.0009720325 
0 	0.0009701252 
0.0010252 	0.0009698868 
0.001005173 	0.0009629726 
0.004955053 	0.001993895 
0.008975983 	0.003988028 
0.03287697 	0.00900197 
0.1272228 	0.02293921 
3.102706 	0.06283188 
0 	0 
0.001020908 	0 
0 	0 
0 	0.0009710789 
0 	0.0009701252 
0 	0 
0.0009980202 	0.0009977818 
0.002996922 	0.001991034 
0.008975983 	0.002991915 
0.03388 	0.008975983 
0.1207049 	0.0219121 
0.4946771 	0.06183314 
0 	0 
0 	0 
0 	0 
0 	0 
0 	0 
0.0009708405 	0.0009980202 
0.0009961128 	0.0009720325 
0.002964973 	0.0009679794 
0.008977175 	0.003988028 
0.03388214 	0.008975983 
0.121676 	0.02194214 
7.962718 	0.06481791 
0 	0.00100112 
0 	0 
0 	0 
0 	0 
0 	0.0009958744 
0 	0 
0.0009968281 	0.000992775 
0.002991915 	0.0009970665 
0.009972095 	0.003988981 
0.03789902 	0.008975029 
2.342737 	0.0249331 
13.11993 	0.06183219 
0 	0.0009970665 
0 	0 
0 	0 
0.0009977818 	0 
0 	0 
0.0009968281 	0.0009980202 
0.0009949207 	0.0009970665 
0.002991915 	0.001995087 
0.008975983 	0.003988981 
0.03391099 	0.007978916 
0.1256671 	0.02195501 
6.984357 	0.06082392 
0.0009698868 	0 
0 	0 
0.0009691715 	0 
0 	0 
0 	0 
0 	0 
0.0009970665 	0.0009980202 
0.002992153 	0.001994848 
0.008975983 	0.003989935 
0.03291607 	0.008945942 
0.1336138 	0.02194118 
11.1565 	0.06679106 
